type	button
Property	Default	Options
----------------------------------------------------------------------------------------------------
name	Tab Menu	
label		
tooltip		
visible	true	
disabled	false	
showName	false	
text	Tab 1\nTab 2\nTab 2	
layerMode	Static	Static,Dynamic,Scrolling
behavior		long id
foregroundColor		
foregroundPattern		
backgroundColor		
backgroundPattern		
hiliteColor		
hilitePattern		
borderColor		
borderPattern		
topColor		
topPattern		
bottomColor		
bottomPattern		
shadowColor		
shadowPattern		
focusColor		
focusPattern		
customProperties		
blendLevel	0	0,100
ink	srcCopy	blendClear,blendSrc,blendDst,blendSrcOver,blendDstOver,blendSrcIn,blendDstIn,blendSrcOut,blendDstOut,blendSrcAtop,blendDstAtop,blendXor,blendPlus,blendMultiply,blendScreen,blendOverlay,blendDarken,blendLighten,blendDodge,blendBurn,blendHardLight,blendSoftLight,blendDifference,blendExclusion,clear,noop,notSrcAnd,notSrcAndReverse,notSrcCopy,notSrcOr,notSrcOrReverse,notSrcXor,reverse,set,srcAnd,srcAndReverse,srcCopy,srcOr,srcOrReverse,srcXor,blend,addPin,addOver,subPin,transparent,adMin,addMax
textFont		execute:get the fontNames
textSize		
textStyle		bold,italic,underline,box,threeDBox,link,strikeout
textAlign		left,center,right
margins	8	
lockLoc	false	
width	234	
height	144	
location	no_default	left,top,right,bottom
left		
top		
right		
bottom		
layer 	no_default	
style	menu	
menumode	tabbed	
dropShadow		{color:dropShadow["color"];blendMode:dropShadow["blendMode"];opacity:dropShadow["opacity"];filter:dropShadow["filter"];spread:dropShadow["spread"];size:dropShadow["size"];distance:dropShadow["distance"];angle:dropShadow["angle"]}
innerShadow		{color:innerShadow["color"];blendMode:innerShadow["blendMode"];opacity:innerShadow["opacity"];filter:innerShadow["filter"];spread:innerShadow["spread"];size:innerShadow["size"];distance:innerShadow["distance"];angle:innerShadow["angle"]}
outerGlow		{color:outerGlow["color"];blendMode:outerGlow["blendMode"];opacity:outerGlow["opacity"];filter:outerGlow["filter"];spread:outerGlow["spread"];size:outerGlow["size"];distance:outerGlow["distance"];angle:outerGlow["angle"]}
innerGlow		{color:innerGlow["color"];blendMode:innerGlow["blendMode"];opacity:innerGlow["opacity"];filter:innerGlow["filter"];spread:innerGlow["spread"];size:innerGlow["size"];distance:innerGlow["distance"];angle:innerGlow["angle"]}
colorOverlay		{color:colorOverlay["color"];blendMode:colorOverlay["blendMode"];opacity:colorOverlay["opacity"];filter:colorOverlay["filter"];spread:colorOverlay["spread"];size:colorOverlay["size"];distance:colorOverlay["distance"];angle:colorOverlay["angle"]}
